"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FF","2026-07-07","102.4","-1.87","5.05","Misiorowski, Jacob",663457,694819,"strikeout","called_strike",,,,,6,"Lars Nootbaar called out on strikes.","R","L","R","STL","MIL","S",2,,2,2,2026,"-0.93","1.27",0.5578765150649432,2.1776650600985934,,,,0,7,"Bot",,,,,,,9.226973041986032,-148.80118496133554,-5.893162459103463,-15.984101280135025,35.48302084774387,-12.034172736109051,3.259498032,1.644980315,,,,"104.5",2793,"7.5",823062,661388,683734,668930,687401,806198,694192,669003,686217,"53.03",,0,"0",1,0,0,,55,5,"4-Seam Fastball",3,4,3,4,4,3,3,4,"Strategic","Strategic",218,"-0.041","-0.238",,,,,"0.238",,-1,-1,0.357,0.357,24,28,24,29,3,2,5,1,,,"0.91","0.93","-0.93","30.6",,,,,
"FC","2026-07-07","96.6","-2.02","4.97","Misiorowski, Jacob",663457,694819,,"called_strike",,,,,1,,"R","L","R","STL","MIL","S",,,2,1,2026,"0.02","0.41",-0.28582680481261424,2.8281369580302123,,,,0,7,"Bot",,,,,,,4.664971328025761,-140.88690476920104,-1.0842183009720596,-0.6249213495602011,25.456349149610922,-26.546636253609407,3.259498032,1.644980315,,,,"100.6",2593,"7.9",823062,661388,683734,668930,687401,806198,694192,669003,686217,"52.59",,,,,,,,55,4,"Cutter",3,4,3,4,4,3,3,4,"Standard","Strategic",184,"-0.015","-0.078",,,,,"0.078",,-1,-1,0.372,0.372,24,28,24,29,3,2,5,1,,,"1.98","-0.02","0.02","29.0",,,,,
"FF","2026-07-07","100.9","-1.88","4.94","Misiorowski, Jacob",663457,694819,,"called_strike",,,,,9,,"R","L","R","STL","MIL","S",,,2,0,2026,"-1.15","1.09",0.3533429934692456,1.8158977172881683,,,,0,7,"Bot",,,,,,,9.1399709655813,-146.71080315489854,-5.962320352338352,-18.75729110028871,32.59955796867737,-15.109683362744493,3.259498032,1.644980315,,,,"103.4",2697,"7.5",823062,661388,683734,668930,687401,806198,694192,669003,686217,"52.98",,,,,,,,55,3,"4-Seam Fastball",3,4,3,4,4,3,3,4,"Standard","Strategic",219,"-0.015","-0.08",,,,,"0.08",,-1,-1,0.387,0.387,24,28,24,29,3,2,5,1,,,"1.14","1.15","-1.15","25.8",,,,,
"FF","2026-07-07","100.6","-1.98","5.08","Misiorowski, Jacob",663457,694819,,"ball",,,,,11,,"R","L","R","STL","MIL","B",,,1,0,2026,"-1","1.1",-1.4715443911395858,3.278330758352678,,,,0,7,"Bot",,,,,,,3.889469559785529,-146.55659288883112,-2.256941117922764,-15.352142217504776,31.177226581310318,-15.966307799744861,3.259498032,1.644980315,,,,"103.3",2657,"7.4",823062,661388,683734,668930,687401,806198,694192,669003,686217,"53.07",,,,,,,,55,2,"4-Seam Fastball",3,4,3,4,4,3,3,4,"Standard","Strategic",214,"0.015","0.085",,,,,"-0.085",,-1,-1,0.372,0.372,24,28,24,29,3,2,5,1,,,"1.13","1","-1","27.6",,,,,
"CU","2026-07-07","88.6","-1.84","5.34","Misiorowski, Jacob",663457,694819,,"ball",,,,,14,,"R","L","R","STL","MIL","B",,,0,0,2026,"0.87","-0.79",1.8845602084639825,-0.3861541658087462,,,,0,7,"Bot",,,,,,,7.2621936940743055,-128.848006315418,-6.089912974648883,8.304068524128557,25.938467694811994,-39.902504229153344,3.259498032,1.644980315,,,,"90.6",2671,"7.5",823062,661388,683734,668930,687401,806198,694192,669003,686217,"53.01",,,,,,,,55,1,"Curveball",3,4,3,4,4,3,3,4,"Standard","Strategic",49,"0.008","0.046",,,,,"-0.046",,-1,-1,0.364,0.364,24,28,24,29,3,2,5,1,,,"3.69","-0.87","0.87","40.0",,,,,
"SL","2026-07-07","93.6","-2.02","4.85","Misiorowski, Jacob",691023,694819,"strikeout","swinging_strike",,,,,9,"Jordan Walker strikes out swinging.","R","R","R","STL","MIL","S",2,,0,2,2026,"0.35","-0.21",0.7578570969831275,1.7278339367755096,,,,2,6,"Bot",,,,,,,6.466276977772719,-136.40124057000588,-1.784164923848292,3.153587540326697,25.45108508991898,-34.61940049954707,3.461351706,1.746850394,,,,"96.7",2703,"7.6",823062,661388,641343,668930,687401,806198,694192,669003,686217,"52.89",,0,"0",1,0,0,,47,3,"Slider",3,3,3,3,3,3,3,3,"Strategic","Standard",92,"-0.01","-0.153","77.2","9.3","5.881961412",,"0.153",,0,0,0.51,0.51,24,24,24,24,3,2,5,1,,0,"2.77","-0.35","-0.35","27.5",13.057420883280297,-18.364615975571624,25.118639559505283,51.17375753704147,40.19286877671187
"SL","2026-07-07","91.5","-1.96","4.83","Misiorowski, Jacob",691023,694819,,"foul",,,,,8,,"R","R","R","STL","MIL","S",,,0,1,2026,"0.38","-0.42",-0.1519776311607447,2.044028942717539,,,,2,6,"Bot",,,,,,,3.7477545900768363,-133.35756168990724,-0.12183470875948421,3.9182675194341576,25.045134694055108,-37.42203440909587,3.461351706,1.746850394,1,,-56,"94",2711,"7.4",823062,661388,641343,668930,687401,806198,694192,669003,686217,"53.1",,,,,,,,47,2,"Slider",3,3,3,3,3,3,3,3,"Strategic","Strategic",74,"-0.004","-0.061","74.3","8.3",,,"0.061",,0,0,0.514,0.514,24,24,24,24,3,2,5,1,,0,"3.11","-0.38","-0.38","29.6",0.25375867585328826,0.1925876073166379,28.61075583167654,38.91779977342314,25.185114064555187
"SL","2026-07-07","93.1","-2.06","4.88","Misiorowski, Jacob",691023,694819,,"swinging_strike",,,,,8,,"R","R","R","STL","MIL","S",,,0,0,2026,"0.22","-0.22",0.22849403607679541,1.8534776931276578,,,,2,6,"Bot",,,,,,,5.49672469312949,-135.65529351628172,-1.4132649608300556,1.683852684292647,26.006763479637904,-34.87703644410474,3.461351706,1.746850394,,,,"97",2636,"8.2",823062,661388,641343,668930,687401,806198,694192,669003,686217,"52.32",,,,,,,,47,1,"Slider",3,3,3,3,3,3,3,3,"Strategic","Strategic",64,"-0.003","-0.046","79.9","9.6","15.591955128",,"0.046",,0,0,0.517,0.517,24,24,24,24,3,2,5,1,,0,"2.82","-0.22","-0.22","27.4",18.78575607847032,-43.59712839570845,27.596650340181093,40.99382227116972,59.69046013865872
"FF","2026-07-07","104","-1.93","5.1","Misiorowski, Jacob",676475,694819,"strikeout","swinging_strike",,,,,12,"Alec Burleson strikes out swinging.","R","L","R","STL","MIL","S",2,,2,2,2026,"-0.77","1.27",0.5693844796169555,3.8764799936741894,,,,1,6,"Bot",,,,,,,9.312702316235203,-151.27479865098533,-1.4383135309429382,-14.056729433003584,34.11112823478591,-12.47645536922624,3.215616798,1.622834646,,,,"107.7",2730,"8",823062,661388,641343,668930,687401,806198,694192,669003,686217,"52.47",,0,"0",1,0,0,,46,8,"4-Seam Fastball",3,3,3,3,3,3,3,3,"Strategic","Standard",215,"-0.021","-0.237","61.0","6.1","0.958983216",,"0.237",,0,0,0.538,0.538,24,27,24,28,3,2,5,1,,0,"0.83","0.77","-0.77","29.2",9.933236973382673,9.28833421872815,30.483924523665696,20.86037713383389,20.091114788189472
"FF","2026-07-07","103.8","-1.95","5.07","Misiorowski, Jacob",676475,694819,,"foul",,,,,14,,"R","L","R","STL","MIL","S",,,2,2,2026,"-0.66","1.18",0.8411126196834978,2.333330833355739,,,,1,6,"Bot",,,,,,,9.707602775197941,-150.88474212958457,-5.540282687269084,-12.260571437978562,32.51191284708593,-12.974670899560554,3.215616798,1.622834646,20,"84.7",-6,"106.3",2610,"7.4",823062,661388,641343,668930,687401,806198,694192,669003,686217,"53.09",,,,,,,,46,7,"4-Seam Fastball",3,3,3,3,3,3,3,3,"Strategic","Strategic",217,"0","0","73.3","7.5",,,"0","88.0",0,0,0.538,0.538,24,27,24,28,3,2,5,1,,0,"0.92","0.66","-0.66","32.5",12.210646276706811,-7.952845459101879,36.955141371285585,19.02717785427304,31.816472289217316
